id,brand,name,assistant,version,model_scope,market,status,family,surface,trigger,modalities,context,referential_type,referential_modes,capabilities,action_result,limitations,evidence_ids,evidence_grade,flow_steps,media_ids,visual_status,video_status,verification_note,entry_evidence_grade,source_type,source_path,created_in,feature_id,feature_name,slide,source_urls
XMI-E011,xiaomi,灵感球：侧滑停顿后拖向对象,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已发布／待OTA核实,识屏与圈选,屏幕边缘→目标位置,从边缘侧滑停顿，拖到目标并说话，松手,触控/按键 | 语音,当前内容与已授权个人上下文,拖拽投喂,拖拽投喂,导航 | 找同款 | 记日程 | 照片编辑,核对结果或确认执行,默认关闭；设置→桌面→系统导航方式→侧滑停顿呼出功能→超级小爱灵感球；预计9月OTA,N-X01,A,侧滑停顿呼出灵感球 | 持续拖向对象并说出请求 | 松手交付 | 核对结果或确认执行,X4-V04 | X4-V05 | X4-V06 | X4-V07,有界面/功能示意（见媒体边界）,LOCAL_CLIP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F07,灵感球指向操作,7,https://os.mi.com/ | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspNav-pc.mp4 | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspSame-pc.mp4 | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspSched-pc.mp4 | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-inspPhoto-pc.mp4
XMI-E008,xiaomi,拍照询问外部世界,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,相机实景,小爱相机附件,打开相机拍摄后询问,触控/按键,当前内容与已授权个人上下文,相机取景,相机取景,视觉问答 | 识物 | 拍照翻译,提问并查看回答,相机权限；单次照片问答不能直接表述为持续视频理解,N-X03 | N-X02 | XC25-S01,A,唤醒小爱并进入拍照 | 对准目标并拍摄 | 提问并查看回答,XC25-CAMERA-ENTRY | XC25-CAMERA-CONTROL,ENTRY_CONTROL_ONLY_HISTORICAL,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。；V16独立复核移除不对应的圈屏宣传图，相机界面待补。,,,,,XMI-F08,相机拍照问答,7,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/ | https://www.10100.com/article/32894989
XMI-E016,xiaomi,语音／屏幕保存到小爱记忆,超级小爱,超级小爱现行隐私说明v20260814,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／配置限定,分享／拖拽,小爱会话与屏幕内容,提供内容并要求记住,触控/按键,当前内容与已授权个人上下文,混合方式,混合方式,个人记忆 | 事项保存 | 回忆查询,检查保存内容并在需要时询问,主动保存内容与专家模式系统记忆分开管理；隐私政策区分本地记忆及多端同步,N-X02,A,添加内容或说明要记住的信息 | 要求小爱记录 | 检查保存内容并在需要时询问,EXT-008,有界面/功能示意（见媒体边界）,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F09,记忆保存与管理,8,https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E017,xiaomi,小爱记忆管理,超级小爱,超级小爱8.0前后路径不同,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／版本限定,原生应用 AI,小爱我的→超级小爱记忆,进入记忆列表编辑或删除,触控/按键,当前内容与已授权个人上下文,点击对象,点击对象,记忆查看 | 编辑 | 删除,编辑或删除并核对结果,8.0以下入口在设置或个人中心；来源管理与全部清除需分别核对,N-X02,A,打开我的→超级小爱记忆 | 选择具体记忆 | 编辑或删除并核对结果,IMG-212 | EXT-008 | XM26-01,有界面/功能示意（见媒体边界）,VIDEO_GAP,起点已在记忆列表；中途详情仅见加载中；最终返回我的页，未展示新增保存、编辑、删除、回桌面或关闭小爱。保留原字幕、水印及加载状态。,,,,,XMI-F09,记忆保存与管理,8,https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/ | https://www.bilibili.com/video/BV1Tmgw6LE86/
XMI-E018,xiaomi,自然语言搜索本机内容,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,桌面与搜索,小爱搜索／会话,描述想找的照片、文件、笔记或录音,触控/按键,当前内容与已授权个人上下文,无指代,无指代,语义检索 | 本机问答,选择匹配结果并打开,需相应照片、文件、笔记与录音权限；个体数据规模影响结果,N-X03 | N-X02,A,唤醒小爱或打开搜索 | 用自然语言描述材料 | 选择匹配结果并打开,IMG-194,有界面/功能示意（见媒体边界）,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F10,自然语言找内容,9,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E014,xiaomi,超级岛任务进度,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,通知／卡片／主动建议,屏幕顶部超级岛,任务进行中查看或点击超级岛,触控/按键,当前内容与已授权个人上下文,主动上下文,主动上下文,进度查看 | 继续任务 | 结果展开,点击回到任务或查看自动展开的结果,只纳入AI任务的岛上反馈；普通130+服务不全部计算为AI入口,N-X01,A,发起支持的长任务 | 任务在超级岛显示进度 | 点击回到任务或查看自动展开的结果,X4-V01 | X4-V02,有界面/功能示意（见媒体边界）,LOCAL_CLIP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F11,超级岛进度与结果,9,https://os.mi.com/ | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-taskIsland-pc-0812.mp4 | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-thinkDone-pc-0812.mp4
XMI-E015,xiaomi,小爱首页个性化推荐（入口待核）,超级小爱,政策v20260814；适用系统/小爱App版本未核,官方适配的小米/REDMI手机；不含平板演示,中国大陆,官方声明推荐机制；首页独立入口待核,通知／卡片／主动建议,小爱内容推荐；当前承载页面/卡片形态待核,具体到达与触发方式待核,触控/按键,推荐偏好相关信息（官方声明）；单次建议具体上下文未核,主动上下文,主动上下文,个性化内容推荐（机制声明）,个性化内容展示/推送有声明；点击结果与单卡关闭未核,可全局关闭个性化推荐；未证明单卡关闭或关闭后无通用推荐。,N-X02,官方文字／入口未核,当前首页进入方式待核 | 推荐机制有声明；实际卡片形态待核 | 单卡接受、忽略及返回路径待核,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-09复核仅确认政策机制声明；未核当前首页独立入口、服务直达和结束路径。,,,,,XMI-F12,首页个性化推荐（入口待核）,9,https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E020,xiaomi,超级小爱输入法：语音润色与翻译,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,键盘与选中文本菜单,系统输入法,输入语音或文字后选择优化／互译,触控/按键 | 语音,当前内容与已授权个人上下文,文本选择,文本选择,语音润色 | 表达优化 | 中英互译,选择处理方式并检查提交内容,仅中国大陆HyperOS4+；官方未统一说明所有应用按钮位置,N-X01,A,在编辑框打开输入法 | 输入原文或说话 | 选择处理方式并检查提交内容,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F13,小爱输入法,10,https://os.mi.com/
XMI-E013,xiaomi,办公套件入口,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,原生应用 AI,小爱办公套件,点击办公套件并选择生成类型,触控/按键,当前内容与已授权个人上下文,无指代,无指代,深度研究 | PPT | 网页 | 视频生成,检查生成内容并导出,官网脚注明确手机办公套件；需HyperOS4+；展示的电脑成品不视作手机交互证据,N-X01,A,打开手机端办公套件 | 选择类型并输入主题或材料 | 检查生成内容并导出,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F14,手机办公套件,10,https://os.mi.com/
XMI-E021,xiaomi,笔记一键语音速记,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,原生应用 AI,系统笔记,点击语音速记入口并口述,触控/按键 | 语音,当前内容与已授权个人上下文,无指代,无指代,速记 | 语音内容整理,查看生成笔记,HyperOS4部分机型；无完整操作录屏时不推断省略的确认步骤,N-X01,A,打开笔记语音速记 | 口述内容并结束 | 查看生成笔记,XM40-01,SOURCE_FRAMES_AVAILABLE,LOCAL_CLIP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F15,笔记速记与整理,12,https://os.mi.com/
XMI-E022,xiaomi,笔记AI整理与对话,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,原生应用 AI,系统笔记内容页,在笔记内调用智能整理／AI对话,触控/按键,当前内容与已授权个人上下文,整屏隐式指代,整屏隐式指代,总结模板 | 智能整理 | 内容问答,检查生成结果,HyperOS4部分机型；不把整篇笔记处理假设为支持任意局部指代,N-X01,A,打开已有笔记 | 选择AI整理或对话 | 选择模板或提问 | 检查生成结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F15,笔记速记与整理,12,https://os.mi.com/
XMI-E023,xiaomi,录音机会议总结,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,原生应用 AI,系统录音机,对录音调用要点、大纲或总结,触控/按键,当前内容与已授权个人上下文,点击对象,点击对象,会议要点 | 总结 | 大纲 | 手动标记,核对重点与原始音频,仅部分机型；官方提示生成结果需以原始录音为准,N-X01,A,打开会议录音 | 选择总结或大纲 | 核对重点与原始音频,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F16,录音会议总结,11,https://os.mi.com/
XMI-E024,xiaomi,AI通话：语音设置自动代接,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已发布／待上线,原生应用 AI,小爱会话→来电服务,说出一段时间内自动代接来电,触控/按键 | 语音,当前内容与已授权个人上下文,无指代,无指代,自动代接 | 通话总结 | 回复建议,查看摘要与回复建议,官网预计9月中旬上线；中国大陆HyperOS4部分机型，不将9月8日列为全面可用,N-X01,A,告诉小爱代接时段 | 核对启用状态 | 来电由AI代接 | 查看摘要与回复建议,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F17,AI自动代接,13,https://os.mi.com/
XMI-E025,xiaomi,照片预览页语音编辑,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,原生应用 AI,照片预览→小爱,在照片预览页唤醒小爱并说编辑要求,触控/按键 | 语音,当前内容与已授权个人上下文,整屏隐式指代,整屏隐式指代,图片编辑,检查编辑结果,应用商店说明支持此入口；具体操作类型、接受与撤销按实际照片工具验证,N-X03 | N-X02,A,打开目标照片 | 唤醒小爱描述编辑 | 检查编辑结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F18,一句话修图,13,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
OPP-E001,oppo,语音唤醒小布,小布,ColorOS 16（官方16.0手册；不代表16.1所有机型）,运行中国大陆ColorOS 16且具有对应菜单的OPPO手机；通用手册未列完整机型白名单,中国大陆,机型/版本限定,语音唤醒,系统全局,说出已录入的唤醒词,语音,通用系统上下文,无指代,无指代 | 对话指代,问答 | 设备操作,小布浮层或对话结果,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,OPP-AUD-S001,A,说出已录入的唤醒词 | 说出问题或设备操作要求,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F01,小布全局唤醒,15,https://www.coloros.com/manual/16/DTO001697.html
OPP-E002,oppo,长按电源键唤醒小布／问屏,小布,ColorOS 16（官方16.0手册；不代表16.1所有机型）,运行中国大陆ColorOS 16且具有对应菜单的OPPO手机；通用手册未列完整机型白名单,中国大陆,机型/版本限定,物理按键,机身电源键,长按电源键,触控/按键,当前屏幕与对话,混合方式,混合方式 | 整屏隐式指代 | 对话指代,系统问答 | 屏幕内容问答,小布浮层,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,OPP-AUD-S001,A,打开目标页面 | 长按电源键唤醒小布 | 针对屏幕内容说出问题,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F01,小布全局唤醒,15,https://www.coloros.com/manual/16/DTO001697.html
OPP-E016,oppo,线控耳机长按唤醒小布,小布,ColorOS 16（官方16.0手册；不代表16.1所有机型）,中国大陆ColorOS 16手机＋兼容线控耳机；不推广到任意蓝牙耳机,中国大陆,机型/版本限定,物理按键,支持的小布耳机,长按兼容线控耳机中间按键,按键 | 语音,通用系统上下文,无指代,无指代 | 对话指代,唤醒小布 | 语音问答,语音反馈或手机结果,官方此文只证实线控耳机，不支持旧表任意耳机点击/长按的泛化。,OPP-AUD-S001,A,连接线控耳机 | 长按耳机中间按键 | 说出请求,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F01,小布全局唤醒,15,https://www.coloros.com/manual/16/DTO001697.html
OPP-E018,oppo,长按导航条／虚拟Home唤醒小布,小布,ColorOS 15手册明确；16.0唤醒章节未列该方式,支持该设置的中国大陆ColorOS 15手机；不能自动外推全部16机型,中国大陆,机型/版本限定,导航条／Home,底部导航提示条,长按导航条后提问,触控/按键,通用系统上下文,整屏隐式指代,整屏隐式指代 | 对话指代,小布唤醒 | 问屏,小布覆盖层结果,保留有操作证据的历史版本路径；16.0章节未列不等于证实已移除。,OPP-AUD-S024,A,在支持机型长按底部导航条或虚拟Home键 | 对当前页面提出问题,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F01,小布全局唤醒,15,https://www.coloros.com/manual/15/DTO001697.html
OPP-E006,oppo,AI实景对话,小布,ColorOS 16（官方16.0手册；不代表16.1所有机型）,运行中国大陆ColorOS 16且具有对应菜单的OPPO手机；通用手册未列完整机型白名单,中国大陆,机型/版本限定,相机实景,小布实景对话,长按电源键后点击 AI 实景对话并取景,语音 | 视觉 | 触控,实时相机画面,混合方式,混合方式 | 相机取景 | 点击对象 | 对话指代,实景问答 | 连续对话 | 多人提问,浮层答案与服务,官方说明支持手指指向，不能据此认定支持悬浮于手机屏幕的精确坐标指代。,OPP-AUD-S011 | SRC-004 | OP25,A,长按电源键唤醒小布 | 点击实景对话入口 | 将相机对准目标 | 通过说话、点击取景画面或指向实物提出问题 | 继续追问,OP-V02 | MED-V004 | OP25-01 | OP25-02 | OP25-03,有界面/功能示意（见媒体边界）,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F02,AI实景对话,16,https://www.coloros.com/manual/16/FDT071923.html | https://www.coloros.com/article/A00000125/ | https://www.oppo.com/content/dam/oppo_com/oppo/event-page-asset/oppo-ai/cn/v1/assets/videos-tips-7-zh.mp4 | https://coloros-website-cn.allawnfs.com/website-resource-20260421/os1611776774710000/video/module3/%E5%AE%9E%E6%99%AF%E5%AF%B9%E8%AF%9D.mp4
OPP-E017,oppo,双指长按小布识屏,小布,ColorOS 16（官方16.0手册；不代表16.1所有机型）,运行中国大陆ColorOS 16且具有对应菜单的OPPO手机；通用手册未列完整机型白名单,中国大陆,机型/版本限定,识屏与圈选,任意支持界面,双指长按触发识屏后选择动作,手势 | 触控,当前屏幕,整屏隐式指代,整屏隐式指代 | 圈选／框选,图文提取 | 翻译 | 屏幕问答 | 转Word/Excel,识屏文本提取、翻译、文档转换或选区提问结果,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,OPP-AUD-S002,A,在目标页面双指长按 | 选择提取文字、翻译、转文档或问小布等后续动作,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F03,双指识屏,17,https://www.coloros.com/manual/16/DTO001629.html
OPP-E033,oppo,长按内容拖入小布胶囊,小布助手,ColorOS 15.0＋小布助手11.4及以上,满足上述版本的中国大陆OPPO手机,中国大陆,机型/版本限定,分享／拖拽,当前内容 → 底部小布胶囊,长按对象拖入胶囊后发送,触控,选定文字或图片,拖拽投喂,拖拽投喂,对象问答,基于所选内容的回答,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,OPP-AUD-S026,A,长按当前页面的文字或图片 | 拖到屏幕下方的小布胶囊 | 点击发送并查看回复,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,OPP-F04,拖入小布胶囊,17,https://www.coloros.com/manual/15/BIT019572.html
OPP-E008,oppo,小布文档附件问答,小布,ColorOS 16（官方16.0手册；不代表16.1所有机型）,运行中国大陆ColorOS 16且具有对应菜单的OPPO手机；通用手册未列完整机型白名单,中国大陆,机型/版本限定,原生应用 AI,小布助手附件菜单,点击附件并选择文档,触控 | 文字 | 语音,用户上传的文档,点击对象,点击对象,文档摘要 | 多文档比较与问答,文档摘要与后续问题的回答,本条仅确认Word/PDF/PPT/TXT；原视频上传与理解未由该文档确认。,OPP-AUD-S012,A,打开小布助手 | 点击右下角附件入口并选择文档 | 上传支持格式的文档 | 针对文档提问或查看摘要,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,OPP-F05,附件问答与摘要,17,https://www.coloros.com/manual/16/FOT018542.html
