id,brand,name,category,layer,slide,enter,use,finish,media,clips,images
XMI-F18,小米,一句话修图,通话与影像,应用AI入口,13,片头照片已在AI处理中,随后出现编辑结果与工具栏,停在编辑器；未见保存或关闭,video,RE04,
OPP-F01,OPPO,小布全局唤醒,系统入口,系统入口,15,语音 / 长按电源键 / 导航条；耳机按键,在小布面板说出任务；看屏问题用当前页面,核对结果；实景会话需单独结束，节选未挂断,video,RE01,
OPP-F19,OPPO,小布看屏实时对话,系统入口,系统入口,15,唤起小布后开启屏幕实时对话,切换页面，围绕共享画面连续提问,红色结束控件可见；节选未点击结束,video,OP01,
OPP-F02,OPPO,AI实景对话,实景对话与指向,系统入口,16,长按侧键唤醒小布，再点实景对话；官方图示进入取景,屏幕点选红辣椒；另一段以取景内手指指向黄辣椒，查看对应信息卡,本片未展示挂断或返回；两种指向均不能代表屏幕上方悬浮定位,video,OP25-01|OP25-02|OP25-03|MED-V004|OP-V02,
OPP-F03,OPPO,双指识屏,屏幕与对象,条件入口,17,首次开启识屏；在目标页面双指按压,从识屏动作列表选比价、提取等服务,核对结果并返回；片段未展示退出,video,OGS7-01,
OPP-F04,OPPO,拖入小布胶囊,屏幕与对象,条件入口,17,长按文件，保持拖动,拖到小布胶囊，出现添加提示,图停在“松手添加文件”；未见发送,image,,OPP-CAPSULE-V4
OPP-F05,OPPO,附件问答与摘要,屏幕与对象,条件入口,17,小布对话点附件；旧版图示文档按钮,选文件后看摘要，围绕文档继续提问,核对回答；选文件与退出操作未展示,image,,OGDOC7-A|OGDOC7-B|OGDOC7-C|OG7-F05-02|OG7-F05-03
OPP-F06,OPPO,扫一扫与拍照翻译,屏幕与对象,条件入口,17,翻译 > 拍照翻译,点击拍照翻译 → 对准菜单并拍照,按需切换目标语言并查看译文；退出路径待补实机,video,MED-V006,
OPP-F07,OPPO,一键闪记屏幕,闪记采集与找回,条件入口,18,设置开启一键闪记；在目标页面三指上滑。快捷键和截图缩略图为其他入口,当前页面闪记后，打开桌面小布记忆并选择记录,查看同标题文章的AI屏幕摘要；详情退出与删除未展示,video,OM19-01|OP-V03,OM19-PHONE-31|OM19-PHONE-29|OM19-PHONE-24
OPP-F08,OPPO,语音闪记与收藏同步,记忆与主动建议,条件入口,19,配置快捷键后长按口述；片中只见收音UI,松开记住语音，再点提示查看转写,核对记忆详情；收藏同步与退出未展示,video,OGV7-01,
OPP-F09,OPPO,订单提醒与建议卡,记忆与主动建议,条件入口,19,设置开启小布建议，添加桌面卡并绑定服务,情境匹配后看建议；片中仅展示配置,点卡承接服务；订单出卡与退出画面待补,video,OGA7-01,
OPP-F10,OPPO,桌面全局AI搜索,记忆与主动建议,条件入口,19,桌面下滑后输入或说出搜索请求,输入模糊描述或语音搜索要求,查看匹配的本机内容；退出路径待补实机,image,,EXT-007
OPP-F11,OPPO,键盘AI写作与回复,AI写作,应用AI入口,20,聊天中点键盘AI写作，再选回聊天,选择候选，回填到输入框,核对后发送，回到聊天；未演示撤回,video,OPW14-01,EXT-003
OPP-F12,OPPO,便签与文档AI工具,AI写作,应用AI入口,20,文档工具栏点AI写作；便签是另一路径,选自由写，输入要求并生成,点替换原文，正文回填；保存与退出未展示,video,OPW14-03,OPW14-NOTE|AUDIMG-317
OPP-F20,OPPO,便签配图生成文案,AI写作,应用AI入口,21,便签插入图片，点AI写作→发社媒,选平台与风格，生成并核对候选,点替换原文回填便签；未发布到社交平台,video,OPW14-02,
OPP-F21,OPPO,选区入口与AI润色,AI写作,条件入口,21,选中文字→AI写作；见独立入口图,视频另示文档润色：选风格、看候选,替换后回编辑；未演示撤销或保存,video,OPW14-04,OPW14-SELECTION
OPP-F13,OPPO,AI录音与纪要,写作与办公,应用AI入口,22,打开录音，开始录制,结束录音后打开录音文件,查看原文或摘要，按需选纪要模板,video,OP-V01,EXT-006
OPP-F14,OPPO,侧边栏语音摘记,侧边栏语音摘记,应用AI入口,23,视频中调出侧边栏，点AI语音摘记,分别启动应用录音、AI摘要或字幕,面板可收起，任务仍在；停止未拍,video,OA38-01|OA38-02|OA38-03,OPP-F14-OFFICIAL-202503
OPP-F15,OPPO,小布代接与本人接管,小布代接与回看,应用AI入口,24,片头已在小布代接通话中,查看问候与来电方的实时转写,收到要点通知 → 点击 → 回看记录,video,OC38-01|OC38-02,OPP-F15-OFFICIAL-202503
OPP-F16,OPPO,通话翻译与摘要,通话与影像,应用AI入口,25,通话中点击翻译入口,点击AI通话助手 > 通话翻译,自动识别不准时手动选择对方语言；退出路径待补实机,image,,EXT-004|EXT-005
OPP-F18,OPPO,一键与自动指令,通话与影像,应用AI入口,25,小布指令→我的→自动指令→加号,添加触发条件与动作，点右上勾保存,列表中管理开关；实际执行及一键分支待补,image,,OG7-F18-03|OG7-F18-09|OG7-F18-10|OG7-F18-04|OG7-F18-07
OPP-F17,OPPO,相册AI消除,相册AI消除与采用,应用AI入口,26,日本：照片→编辑→AI编辑器→AI消除,圈住右侧玩偶，处理后目标消失,另段：保存→保存副本→回照片浏览,video,OP30-01|OP30-02|OP30-03,AUDIMG-318
VIV-F01,vivo,蓝心小V全局对话,系统入口,系统入口,28,语音、长按电源键或桌面图标唤起小V,说出或键入请求，核对答复与执行回执,收起路径未在节选展示；不能把回执当作退出,video,VB-01|VB-02|MED-V008,
VIV-F03,vivo,桌面与锁屏快捷指令,系统入口,系统入口,28,点击已配置的桌面指令组件,查看指令执行状态；首次配置另行完成,核对执行回执；本片未展示退出或撤销,video,MED-V007,
VIV-F04,vivo,X Fold6远程Claw,系统入口,系统入口,28,PC部署后，从手机已连接通道发任务,通过小V、微信或QQ描述PC任务,核对返回结果；退出路径待核实,image,,VIVF6-UI-2284
VIV-F02,vivo,探索发现：智能体与指令,探索发现与智能体,系统入口,29,点击或下拉小V标题栏，进入探索发现,可选智能体；本片点查询天气旁的“试试”,核对小V回答；两条动图均未展示关闭,video,VD16-01|VD6-01,VDISC6-AGENTS-V6
VIV-F05,vivo,小V圈搜2.0,屏幕与对象,条件入口,30,双指长按屏幕，或长按底部导航条,查看自动识别主体；点服务气泡，必要时圈选,结果落在推荐服务；关闭未展示,video,VI01|VB-04,MED-I001
VIV-F06,vivo,原子岛拖放到服务,屏幕与对象,条件入口,30,打开原子岛的拖放直达设置,进入置顶服务，添加常用应用,点完成，返回拖放直达设置页,video,VI-SET,
VIV-F07,vivo,分享给小V问答（OS4）,屏幕与对象,条件入口,30,OS4：在相册 / 文件管理选内容，点分享,分享面板选蓝心小V，对传入内容提问,核对回答；退出与操作画面待补,gap,,
VIV-F08,vivo,识屏、问屏与输入法填表,识屏填表与资料准备,条件入口,31,双指长按表单，左滑动作栏后点快速填写,核对资料面板，点击填充；先录入资料另算配置,回到原表单，字段已有内容；未登录或提交,video,VB-03|VM33-01|VM33-04,
VIV-F09,vivo,小V记忆收藏,小V记忆收录与查看,条件入口,32,双指识屏点加入收藏；另一路三指截屏拖向原子岛,识屏路在已收藏提示中打开摘要；拖拽路只见已收藏,收藏后原文仍在；未演示摘要详情退出或撤销,video,VM33-02|VM33-03,MED-I002
VIV-F10,vivo,小V建议与原子岛,记忆与主动建议,条件入口,33,设置 → 蓝心智能 → 小V建议，启用服务,设置展示位置；情境出现后可点原子岛建议,核对并进入服务；关闭建议用设置开关,video,VS6-01,
VIV-F11,vivo,小V写作：笔记与键盘,键盘润色与笔记写作,应用AI入口,34,输入文字后点键盘AI,选润色候选，点击采用；动图为旧版演示,原文替换，回到键盘；撤销与保存未演示,video,VQ13-01|VB-05|VV40-01,
VIV-F12,vivo,小V帮记与媒体摘记,写作与办公,应用AI入口,36,媒体场景侧滑出侧边栏，点小V帮记并授权,查看字幕，选择AI总结或分角色；会议另有支线,回看文本或收起浮窗；节选未关闭,video,VN-01|VN-02,
VIV-F13,vivo,X Fold6文件管家,写作与办公,应用AI入口,36,打开AI文件管家，选择文件来源或类型,提出搜索或整理要求，核对匹配文件,打开目标文件处理；退出路径待实测,image,,VIVF6-UI-1877|VIVF6-UI-1875
VIV-F14,vivo,X Fold6会议助手,录音指定说话人总结,应用AI入口,37,在已有录音的总结模板展开指定说话人,仅保留目标发言人，确认后开始生成,正文逐步出现；片尾仍正在生成,video,VV40-02,VIVF6-UI-2267|VIVF6-UI-2263
VIV-F15,vivo,电话助手与AI找人工,通话与影像,应用AI入口,38,客服电话接通后，点小V电话助手,15秒内选择AI找人工，等待助手接入,接管后继续通话；原演示未展示挂断,video,VC-01|VC-02,
VIV-F16,vivo,来电反诈提醒,通话与影像,应用AI入口,38,首次在设置开启AI防诈盾牌,通话中识别到风险，出现提醒说明,选挂断、信任或忽略；图未展示选择结果,image,,NS7-VIV-F16-01
VIV-F20,vivo,AI相机摄影助手,通话与影像,应用AI入口,38,进入相机取景界面,查看场景识别与构图建议,按建议拍摄；可返回普通取景,image,,VIVF6-UI-3334
VIV-F21,vivo,图库超智能搜索,通话与影像,应用AI入口,38,打开相册搜索,描述人物、演出或场景,选择结果查看；返回搜索列表,image,,VIVF6-UI-3335
VIV-F17,vivo,Live Photo AI消除,AI照片消除,应用AI入口,39,动态照片→编辑→AI修图→AI消除,圈选路人，开始识别，再开始消除,点✓回编辑，再点完成；保存后的相册回显未展示,video,VEX15-01|VI02|MED-V010,VEX15-ENTRY|VEX15-CONFIRM|VEX15-RETURN|VEX15-FINISH
VIV-F18,vivo,vivo看见问环境与认人,无障碍,应用AI入口,40,设置中打开vivo看见，选环境问答,相机对准对象提问；认人需另行录入人像,结束按钮可见；片中拍挂饰，未展示认人或结束,video,RE02,AUDIMG-319
VIV-F19,vivo,vivo听说声音记忆,声音记忆,应用AI入口,41,听说设置→声音记忆→添加姓名,点开始录制，再长按录入声音,录制成功后校验中；保存、返回未展示,video,VV23-01|VV-01|VV-02,VV23-SUCCESS
HON-F01,荣耀,YOYO全局唤醒,系统入口,系统入口,43,说出已录入的YOYO唤醒词,说出问题或设备操作要求,查看或听取YOYO反馈,image,,HON-WIN-UI-117|HON-WIN-UI-144|HON-TIP-390
HON-F02,荣耀,YOYO看见视频通话,系统入口,系统入口,43,电源键1秒 → YOYO音视频通话,切到视频，对准目标，边看边问,点击结束，或说“退出通话”,image,,HON-LIVE-REF538
HON-F03,荣耀,指关节圈选任意门,屏幕与对象,条件入口,44,指关节圈选图库照片,点任意门中的YOYO，询问照片地点,查看回复；片尾开始下一次收音,video,MED-V012,HON-CIRCLE-V3-A|HON-CIRCLE-V3-B
HON-F05,荣耀,照片识物与Magic文本,屏幕与对象,条件入口,44,唤醒YOYO，进入看见,拍照或导入图片,查看识物结果,image,,HON-WIN-UI-123
HON-F06,荣耀,图库自然语言搜图,屏幕与对象,条件入口,44,图库 > 相册 > 搜索框输入描述,在搜索框描述目标画面,按照片、文字、视频等分类查看匹配结果；退出路径待补实机,image,,HON-SEARCH-V3
HON-F04,荣耀,拖拽任意门,任意门拖拽建日程,条件入口,45,聊天截屏，或长按消息选中文字,拖到任意门的“新建日程”后释放,解析出待确认表单；保存/返回未拍,video,HN39-01|HN39-02,HND36-FILE
HON-F07,荣耀,YOYO记忆,记忆采集与找回,条件入口,46,三指下滑、对话记住、应用收藏；AI键需先绑定,查看收录反馈；对话日程支线再打开日历,三条独立支线；具体关闭手势未展示，日程星期标注不一致,video,HM17-01|HM17-02|MED-V011,HM17-RETURN-1|HM17-RETURN-2|HM17-RETURN-3|HM17-RETURN-4|HM17-CROP-RECEIPT|HM17-CROP-CALENDAR
HON-F08,荣耀,YOYO情境服务卡,记忆与主动建议,条件入口,47,负一屏快递卡先绑定；桌面可出现取件提醒,查看待取件数与位置，按需点查看详情,两张独立状态图；未展示绑定操作、详情、取件码或退出,image,,HON-WIN-UI-130|HON-WIN-UI-133
HON-F09,荣耀,AI帮写,写作与办公,应用AI入口,48,长按输入框点AI帮写；或点智能配文,说明要求，核对生成内容,点插入内容或×；回填、关闭后状态未展示,image,,HON-TIP-414|HONW13-RESULT|HONW13-ENTRY
HON-F10,荣耀,荣耀文档生成PPT,写作与办公,应用AI入口,48,荣耀文档 → AI文档 → 生成PPT,输入要求，选模板并生成,打开结果修改；退出路径待核实,video,MED-V014,
HON-F12,荣耀,面对面对话与同传,写作与办公,应用AI入口,48,打开智慧空间，选择翻译场景与语言,点击开始；双方轮流说话或听同声传译,图中Done仅表示说完了；整个会话退出待核实,video,MED-V016,
HON-F11,荣耀,AI帮记与会议纪要,笔记内会议纪要,应用AI入口,49,笔记中进入录音状态，显示实时波形,识别发言人；另段进入AI会议纪要,提示纪要已生成；插入与返回未拍,video,HN39-03|HN39-04,HON-WIN-UI-206
HON-F13,荣耀,AI接听与文字回复,通话与影像,应用AI入口,50,AI接听 > 通话字幕,输入文字并发送给对方听,需要时退出回到语音通话,image,,HON-CALL-V3
HON-F14,荣耀,通话翻译,通话与影像,应用AI入口,50,通话中点击通话翻译,设置双方语言,继续交谈并查看或收听译文；退出路径待补实机,image,,HON-WIN-UI-210
HON-F15,荣耀,反诈提示与主动检测,通话与影像,应用AI入口,50,已开启后在支持通话中自动检测并提示,警告与处置建议,出现风险提示时查看并另行核实；退出路径待补实机,image,,HON-WIN-UI-055|HON-WIN-UI-059
HON-F16,荣耀,图库魔法修图,通话与影像,应用AI入口,50,图库 > 魔法修图 > AI消除,进入魔法修图 > AI消除 → 圈选、涂抹或选用相应消除模式,对比效果后保存,video,MED-V015,
HON-F17,荣耀,当前图片购物建议,当前图片购物建议,条件入口,51,图片 → 长按导航条,点购物平台 → 查看 → 切平台,停在相似商品列表；未演示返回,video,HN43-01,
HON-F18,荣耀,分屏图文对话,分屏图文对话,条件入口,52,YOYO 浮层 → 分屏对话,保留图片 → 提问 → 点建议追问,保持分屏；关闭与回图库未展示,video,HN43-02,
HUA-F01,华为,小艺全局唤醒,导航条语音入口,系统入口,54,桌面长按底部导航条，展开小艺,保持按住，说“明日天气”,松手发送；原片停在等待回复,video,HW38-01,IMG-001|IMG-146|AUDIMG-245|AUDIMG-246|AUDIMG-247|AUDIMG-248|AUDIMG-249|AUDIMG-250|AUDIMG-251|AUDIMG-252|AUDIMG-253|AUDIMG-254
HUA-F02,华为,首页侧栏与智能体广场,系统入口,系统入口,55,点击桌面小艺图标,在主对话首页点击输入框或语音入口,输入或说出需求并查看回答；退出路径待补实机,video,H7-V01,HS19-SIDEBAR|AUDIMG-085|AUDIMG-088|AUDIMG-089|AUDIMG-128|AUDIMG-129|AUDIMG-130|AUDIMG-131|AUDIMG-132|AUDIMG-133|AUDIMG-134|AUDIMG-135|AUDIMG-136|AUDIMG-137|AUDIMG-138|AUDIMG-139|AUDIMG-140|AUDIMG-141|AUDIMG-142|AUDIMG-143|AUDIMG-144|AUDIMG-145|AUDIMG-146|AUDIMG-147|AUDIMG-148|AUDIMG-170
HUA-F03,华为,小艺Claw执行与结束,小艺Claw任务,系统入口,56,本片点桌面Claw图标进已有Beta会话；新版侧栏另见入口图,另段头条任务显示发布成功；家居宣传为独立任务,执行中确认框点结束，加载后手动切回头条；不代表撤销发布,video,HC21-01|HC21-02|H7-V05,HS19-SIDEBAR|CE21-CONFIRM
HUA-F30,华为,小艺任务管理与删除,任务管理与删除,系统入口,57,新版从小艺侧栏进任务；视频用旧版右上更多菜单,任务列表长按护眼模式卡，点删除,确认后该卡移除；删聊天卡不能终止任务。视频未离开任务列表,video,HT21-01,AUDIMG-312|AUDIMG-313|AUDIMG-314|AUDIMG-315|HT21-LIST|HT21-CONFIRM|HT21-REMOVED
HUA-F31,华为,负一屏Claw消息关联,Claw消息与停止关联,条件入口,58,负一屏头像→四点→动态管理→关联账号；先完成Claw关联,接收AI任务动态，点消息看详情；电脑执行任务,关联页点停止关联并确认，旧授权码失效；不代表电脑任务停止,image,,AUDIMG-256|AUDIMG-257|AUDIMG-261|AUDIMG-265|CL21-ASSOC|CL21-CARD|CL21-DETAIL|CL21-STOP|CL21-CONFIRM|CL21-REOPEN
HUA-F04,华为,生成任务后台回流,后台任务与回流,系统入口,59,向小艺提问；回答生成中可返回桌面,在其他界面看任务提示：正在回复中 → 已回复完成,点任务完成提示，回到回答；未展示最终退出,image,,HB19-COMPLETE-ZOOM|HB19-GENERATING-PANEL|HB19-STATUS|HB19-COMPLETE-RETURN|HB19-RETURN|HB19-COMPLETE|HB19-RUNNING|HB19-REPLYING|AUDIMG-266|AUDIMG-267
HUA-F05,华为,双击导航条开启伴随,伴随窗口关闭与返回,条件入口,60,文档入口：双击导航条开启伴随,本片从应用与伴随窗并列开始,点右上关闭，应用恢复满屏,video,HW39-01,IMG-002|IMG-003|HUA-EXIT-V2|HC12-WINDOW|HC12-CLOSE
HUA-F06,华为,单次识屏与主动建议,伴随式AI,条件入口,61,伴随式内点击识别屏幕，或使用允许自动分析的App,读话题或服务卡，核对地址、日期和对象,点服务卡承接；回桌面仍保留伴随，需另行退出,video,HW-01,IMG-009|IMG-010|IMG-014|IMG-015|AUDIMG-311
HUA-F07,华为,鸿蒙7圈选与智能填表,伴随式AI,条件入口,62,先进入伴随式AI（鸿蒙7适配机型）,圈选后点话题；表单点智能填表,核对再提交；用伴随关闭按钮退出,image,,HUA-CIRCLE-UI-014|HUA-CIRCLE-UI-015|HUA-CIRCLE-UI-016|HUA-CIRCLE-UI-017|HUA-F07-readable-v4-menu-entry|HUA-F07-readable-v4-menu-dialog|HUA-F07-readable-v4-menu-result|HUA-F07-readable-v4-fill-trigger|HUA-F07-readable-v4-fill-candidates
HUA-F08,华为,小艺看世界实时对话,伴随式AI,条件入口,63,说“小艺你看”；6.0+半屏点视频，全屏点通话后开摄像头,对准对象口述，可打断；按需开字幕、翻转或静音,点右下挂断，回到小艺主对话；静音仅停止收音,video,MED-V021,HV12-ENTRY|HV12-FULL|HV12-VIEW|HV12-MUTE|HV12-HANGUP
HUA-F09,华为,指关节圈选问小艺,指关节圈选,条件入口,64,指关节圈住消息，点问问小艺,点转账建议，再按提示验证指纹,停在转账信息页；未点下一步或返回,video,HW28-01,IMG-149|IMG-150
HUA-F10,华为,双指／智控键识屏,双指与智控键识屏,条件入口,65,双指据旧图；智控键设置未见绑定完成,另段双触智控键识屏，展示全屏翻译,译文已显示；未关闭或返回原文,video,HW28-05|HW28-06,IMG-141|IMG-143
HUA-F11,华为,拖给导航条与输入框,拖给小艺,条件入口,66,将已选地址拖给小艺；旧文档另支线,地址点记地址；旧文档请求加入知识库,分别见记忆卡与回执；两段均未关闭,video,HW28-02|HZ11-01|MED-V018,HZ11-RECEIPT
HUA-F12,华为,鸿蒙7复制与连续翻译,屏幕与对象,条件入口,67,长按聊天口令并复制,点击底部导航条的淘宝建议,打开对应商品页,video,H7-V02,
HUA-F13,华为,帮记屏幕与口述,记忆与主动建议,条件入口,68,唤醒小艺，使用语音输入,说“记一下”及内容；也可要求记住当前屏幕,核对生日记忆卡；屏幕保存回执与退出未展示,image,,AUDIMG-094|AUDIMG-096|AUDIMG-097|AUDIMG-098|AUDIMG-102|AUDIMG-126|AUDIMG-255|HMEM10-094|HMEM10-096|HMEM10-097
HUA-F14,华为,帮记分享与收藏同步,记忆与主动建议,条件入口,68,"分享页点小艺帮记；
同步收藏从帮记四点菜单设置",分享所选内容；或开启同步收藏后在浏览器收藏,到帮记核对内容；两支线回执和退出未展示,image,,HSHARE10-TARGET|HSHARE10-SYNC|AUDIMG-099|AUDIMG-100
HUA-F15,华为,资料库按范围提问,记忆与主动建议,条件入口,69,打开小艺帮记；点加号添加资料,在全局、合集或单条内容的提问框发问,旧版实录可见答案与参考来源；未打开引用或退出,video,HZ11-02,HLIB10-ADD|HLIB10-SCOPE1|HLIB10-SCOPE2|HLIB10-SCOPE3|AUDIMG-092|AUDIMG-095|AUDIMG-101|AUDIMG-103|AUDIMG-104|AUDIMG-105|AUDIMG-106|AUDIMG-107|AUDIMG-108|AUDIMG-109|AUDIMG-111|AUDIMG-113|AUDIMG-117|AUDIMG-123
HUA-F16,华为,小艺简报与搜索,记忆与主动建议,条件入口,69,"点桌面简报卡片；
搜索用桌面下滑",简报查看摘要；搜索输入关键词找内容,打开目标内容；图中未展示播放或退出,image,,HBRIEF10-CARD|HBRIEF10-VIEW|HBRIEF10-SEARCH|AUDIMG-240|AUDIMG-241|AUDIMG-242|AUDIMG-243|AUDIMG-244|AUDIMG-268|AUDIMG-270|AUDIMG-271|AUDIMG-272
HUA-F29,华为,帮记生成互动播客,记忆与主动建议,应用AI入口,70,在帮记或小艺对话中点“播客生成”,选资料和篇幅，确认生成；播放时可点“我要提问”,旧版实录展示识别问题并开始回应；未录到关闭或恢复播放,video,HZ11-03,HPOD10-SETUP|HPOD10-PLAY|HPOD10-TEXT|HPOD10-ENTRY|AUDIMG-124|AUDIMG-125
HUA-F17,华为,小艺慧记,小艺慧记开始记录,应用AI入口,71,唤醒小艺，输入“打开小艺慧记”,在慧记卡片点击“开始慧记”,录音面板显示计时；停止/退出未拍,video,HW39-02,HN19-DETAIL-TOP|HN19-CARD-ACTIONS|HN19-CARD-TITLE|HN19-DETAIL|HN19-SAVED|AUDIMG-192|AUDIMG-193|AUDIMG-194|AUDIMG-196|AUDIMG-197|AUDIMG-198|AUDIMG-199|AUDIMG-200|AUDIMG-201|AUDIMG-202|AUDIMG-203|AUDIMG-204|AUDIMG-206|AUDIMG-207|AUDIMG-208|AUDIMG-209|AUDIMG-210|AUDIMG-211|AUDIMG-212|AUDIMG-213|AUDIMG-215|AUDIMG-217|HUA-F17-readable-v4-entry|HUA-F17-readable-v4-start|HUA-F17-readable-v4-record-controls|HUA-F17-readable-v4-saving|HUA-F17-readable-v4-summary|HUA-F17-readable-v4-export
HUA-F33,华为,备忘录转写与AI整理,备忘录转写与摘要,应用AI入口,72,片头录音转写已开始；点停止,转写添加至原文，再选智能摘要,摘要添加至原文，回笔记；未退出应用,video,HW28-04,
HUA-F34,华为,小艺输入法 · 小艺帮写,写作与办公,应用AI入口,,当前输入框调出小艺输入法，点帮写,输入要求并选择场景/语气，生成或重试,点插入回填输入框；发送/保存/退出未见,image,,HW45-IMG01|HW45-IMG02|HW45-IMG03
HUA-F18,华为,录音机智能摘要,写作与办公,应用AI入口,73,录音机打开录音，先转为文本,在转写页点智能摘要，检查要点,复制、分享或添加到文本；退出待实测,image,,AUDIMG-188|AUDIMG-189|AUDIMG-191|HUA-F18-readable-v4-transcribe-button|HUA-F18-readable-v4-transcribe-settings|HUA-F18-readable-v4-summary-button|HUA-F18-readable-v4-summary-actions|HUA-F18-readable-v4-summary-in-text
HUA-F19,华为,AI字幕与媒体翻译,写作与办公,应用AI入口,73,从控制中心或设置打开AI字幕,选择源语言与译文语言，播放音视频,核对字幕；关闭浮窗或关闭AI字幕开关,image,,AUDIMG-219|HUA-F19-readable-v4-subtitle-window|HUA-F19-readable-v4-settings|HUA-F19-readable-v4-source-language|HUA-F19-readable-v4-target-language
